Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Tipos de Ataques
80,115130399,7,6,359,11595,359,0,51.285713,135.68924,4355,0,1932.5,2182.4683,103.83009,0.11291544,9594200.0,28600000.0,99100000,4,115000000,19200000.0,39700000.0,99100000,4,14410,2882.0,5135.3154,11918,31,0,0,240,200,0.060800623,0.05211482,0,4355,853.8571,1667.4497,2780388.5,0,0,0,0,1,0,0,0,0,919.53845,51.285713,1932.5,240,7,359,6,11595,251,235,1,32,977.0,0.0,977,977,57600000.0,58700000.0,99100000,16000000,DoS
55758,84,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,142857.14,23809.523,84.0,0.0,84,84,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,11904.762,11904.762,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,1,6,1,6,119,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,9648453,6,0,36,0,6,6,6.0,0.0,0,0,0.0,0.0,3.731168,0.62186134,1929690.6,4313996.5,9646802,184,9648453,1929690.6,4313996.5,9646802,184,0,0.0,0.0,0,0,0,0,120,0,0.62186134,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.0,6.0,0.0,120,6,36,0,0,256,-1,5,20,1651.0,0.0,1651,1651,9646802.0,0.0,9646802,9646802,DDoS
80,13065,3,6,26,11601,20,0,8.666667,10.263203,5840,0,1933.5,2189.773,889934.94,688.8634,1633.125,4199.732,12015,3,12023,6011.5,8497.302,12020,3,13060,2612.0,5339.224,12154,46,0,0,72,132,229.62112,459.24225,0,5840,1162.7,1911.5957,3654198.2,0,0,0,1,0,0,0,0,2,1291.8889,8.666667,1933.5,72,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,30190,3,5,26,11607,20,0,8.666667,10.263203,10135,0,2321.4,4413.202,385326.28,264.9884,4312.857,11009.212,29276,13,637,318.5,362.7458,575,62,30154,7538.5,14494.368,29276,13,0,0,72,112,99.37065,165.61775,0,10135,1292.5555,3350.635,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,9008835,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.3300643,0.55501074,2252208.8,4503743.5,9007824,1,9008835,2252208.8,4503743.5,9007824,1,0,0.0,0.0,0,0,0,0,100,0,0.55501074,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,5,30,0,0,256,-1,4,20,1011.0,0.0,1011,1011,9007824.0,0.0,9007824,9007824,DDoS
22,12664986,21,32,2008,2745,640,0,95.61905,140.04517,976,0,85.78125,220.24059,375.28665,4.184766,243557.42,664923.2,2607552,3,10300000,516620.6,921476.8,2665119,246,12700000,408544.28,825863.2,2607552,3,0,0,680,1032,1.6581148,2.5266511,0,976,88.01852,189.59027,35944.473,0,0,0,1,0,0,0,0,1,89.679245,95.61905,85.78125,680,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
80,98603092,7,7,337,11595,313,0,48.142857,116.825264,4344,0,1656.4286,1760.5973,121.01041,0.14198337,7584853.0,27300000.0,98600000,3,98600000,16400000.0,40200000.0,98600000,3,98600000,16400000.0,40300000.0,98600000,15,0,0,184,232,0.07099169,0.07099169,0,4344,795.86664,1424.3193,2028685.5,1,0,0,0,0,0,0,0,1,852.7143,48.142857,1656.4286,184,7,337,7,11595,0,235,4,20,22065.0,0.0,22065,22065,98600000.0,0.0,98600000,98600000,DoS
19774,143,3,1,43,6,31,6,14.333333,14.433757,6,6,6.0,0.0,342657.34,27972.027,47.666668,80.82904,141,1,2,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,60,20,20979.021,6993.007,6,31,11.0,11.18034,125.0,0,0,0,0,1,0,0,0,0,13.75,14.333333,6.0,60,3,43,1,6,980,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,15450,3,6,407,11595,407,0,135.66667,234.98155,5792,0,1932.5,2181.0083,776828.5,582.5243,1931.25,3199.799,7905,9,8987,4493.5,4940.555,7987,1000,15368,3073.6,4190.385,8914,46,0,0,104,200,194.17476,388.34952,0,5792,1200.2,1884.2084,3550241.0,0,0,0,1,0,0,0,0,2,1333.5555,135.66667,1932.5,104,3,407,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
80,42640,4,6,318,11595,318,0,79.5,159.0,5792,0,1932.5,1977.8129,279385.56,234.52158,4737.778,10165.496,30104,6,12019,4006.3333,6092.3833,11018,6,30587,6117.4,13409.109,30104,46,0,0,144,192,93.80863,140.71295,0,5792,1083.0,1707.7881,2916540.2,0,0,0,1,1,0,0,0,1,1191.3,79.5,1932.5,144,4,318,6,11595,28960,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
21,11,2,0,14,0,14,0,7.0,9.899495,0,0,0.0,0.0,1272727.2,181818.19,11.0,0.0,11,11,11,11.0,0.0,11,11,0,0.0,0.0,0,0,1,0,64,0,181818.19,0.0,0,14,9.333333,8.082904,65.333336,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64,2,14,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
80,4987900,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,4.811644,0.8019407,1662633.4,2879762.0,4987896,1,4987900,1662633.4,2879762.0,4987896,1,0,0.0,0.0,0,0,0,0,80,0,0.8019407,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
1093,91,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,65934.06,21978.021,91.0,0.0,91,91,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,10989.011,10989.011,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,Port Scan
80,5413679,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.7388691,1804559.6,3124994.0,5412992,104,5413679,2706839.5,3827077.5,5412992,687,0,0.0,0.0,0,0,0,0,104,40,0.55415183,0.18471727,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack
21,218,2,1,14,0,14,0,7.0,9.899495,0,0,0.0,0.0,64220.184,13761.468,109.0,74.953316,162,56,218,218.0,0.0,218,218,0,0.0,0.0,0,0,1,0,64,20,9174.312,4587.156,0,14,7.0,8.082904,65.333336,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
8084,49,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,163265.31,40816.33,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,20408.164,20408.164,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,Port Scan
21,240,2,1,14,0,14,0,7.0,9.899495,0,0,0.0,0.0,58333.332,12500.0,120.0,94.75231,187,53,240,240.0,0.0,240,240,0,0.0,0.0,0,0,1,0,64,20,8333.333,4166.6665,0,14,7.0,8.082904,65.333336,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
443,15,2,0,31,0,31,0,15.5,21.920311,0,0,0.0,0.0,2066666.6,133333.33,15.0,0.0,15,15,15,15.0,0.0,15,15,0,0.0,0.0,0,0,1,0,64,0,133333.33,0.0,0,31,20.666666,17.897858,320.33334,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,2,31,0,0,1324,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,97297956,7,4,422,11595,416,0,60.285713,156.8712,11595,0,2898.75,5797.5,123.50722,0.11305479,9729796.0,30800000.0,97300000,3,97300000,16200000.0,39700000.0,97300000,3,1651,550.3333,623.1648,1233,12,0,0,220,136,0.07194395,0.041110832,0,11595,1001.4167,3338.2507,11100000.0,0,0,0,0,1,0,0,0,0,1092.4546,60.285713,2898.75,220,7,422,4,11595,274,235,2,20,998.0,0.0,998,998,97300000.0,0.0,97300000,97300000,DoS
2099,23,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,347826.1,86956.52,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,43478.26,43478.26,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,Port Scan
80,99505932,5,5,379,11595,367,0,75.8,162.81339,8688,0,2319.0,3776.347,120.33453,0.10049652,11100000.0,33100000.0,99400000,14,99400000,24800000.0,49700000.0,99400000,985,99500000,24900000.0,49700000.0,99400000,189,0,0,144,168,0.05024826,0.05024826,0,8688,1089.091,2664.948,7101948.0,1,0,0,0,0,0,0,0,1,1198.0,75.8,2319.0,144,5,379,5,11595,0,235,2,20,13009.0,0.0,13009,13009,99400000.0,0.0,99400000,99400000,DoS
22,12170219,22,32,2008,2745,640,0,91.27273,138.18214,976,0,85.78125,220.24059,390.54352,4.437061,229626.78,625120.25,2416455,3,10300000,490407.75,891173.0,2464662,420,12200000,392586.8,781913.8,2416455,3,0,0,712,1032,1.8076913,2.6293693,0,976,86.41818,188.2012,35419.69,0,0,0,1,0,0,0,0,1,88.01852,91.27273,85.78125,712,22,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
80,5147078,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.77713996,1715692.6,2970894.5,5146186,118,5147078,2573539.0,3638272.2,5146186,892,0,0.0,0.0,0,0,0,0,104,40,0.582855,0.19428499,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack
80,98530786,7,6,364,11595,358,0,52.0,134.95184,7240,0,1932.5,2695.6392,121.37323,0.13193846,8210899.0,28400000.0,98500000,2,98500000,16400000.0,40200000.0,98500000,2,25452,5090.4,6847.9585,13221,45,0,0,220,200,0.07104378,0.06089467,0,7240,854.2143,1934.551,3742487.8,0,0,0,0,1,0,0,0,0,919.9231,52.0,1932.5,220,7,364,6,11595,274,235,2,20,1008.0,0.0,1008,1008,98500000.0,0.0,98500000,98500000,DoS
80,1823343,3,4,26,11607,20,0,8.666667,10.263203,11595,0,2901.75,5795.5005,6380.039,3.839102,303890.5,743298.6,1821142,42,1973,986.5,1192.8892,1830,143,1823162,607720.7,1050854.0,1821142,186,0,0,72,92,1.6453295,2.1937726,0,11595,1454.125,4097.5376,16800000.0,0,0,0,1,0,0,0,0,1,1661.8572,8.666667,2901.75,72,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
21,9231009,9,15,104,188,24,0,11.555555,9.248123,34,0,12.533334,14.54975,31.632511,2.5999324,401348.22,1058090.9,3716623,3,6259897,782487.1,1482660.2,3758941,257,9230935,659352.5,1308223.0,3716623,3,0,0,296,488,0.9749747,1.6249578,0,34,11.68,12.575505,158.14333,0,0,0,1,0,0,0,0,1,12.166667,11.555555,12.533334,296,9,104,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
21,233,2,1,14,0,14,0,7.0,9.899495,0,0,0.0,0.0,60085.836,12875.536,116.5,60.104076,159,74,233,233.0,0.0,233,233,0,0.0,0.0,0,0,1,0,64,20,8583.691,4291.8457,0,14,7.0,8.082904,65.333336,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
8200,15,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,533333.3,133333.33,15.0,0.0,15,15,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,66666.664,66666.664,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,Port Scan
80,6944842,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,4.3197527,0.7199588,1736210.5,3470415.8,6941834,4,6944842,1736210.5,3470415.8,6941834,4,0,0.0,0.0,0,0,0,0,100,0,0.7199588,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,5,30,0,0,256,-1,4,20,3008.0,0.0,3008,3008,6941834.0,0.0,6941834,6941834,DDoS
1121,65,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,92307.695,30769.23,65.0,0.0,65,65,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,15384.615,15384.615,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,Port Scan
