Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Tipos de Ataques
80,85011909,7,6,333,11595,333,0,47.57143,125.86217,7240,0,1932.5,2695.6392,140.30975,0.15291975,7084326.0,24500000.0,84900000,3,84900000,14100000.0,34600000.0,84900000,3,148529,29705.8,59718.727,136134,71,0,0,232,200,0.0823414,0.070578344,0,7240,852.0,1935.2583,3745224.8,0,0,0,0,1,0,0,0,0,917.53845,47.57143,1932.5,232,7,333,6,11595,251,235,1,32,760.0,0.0,760,760,84900000.0,0.0,84900000,84900000,DoS
1000,33,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,242424.25,60606.062,33.0,0.0,33,33,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,30303.031,30303.031,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,Port Scan
80,69681,3,5,26,11601,20,0,8.666667,10.263203,5755,0,2320.2,2411.235,166860.4,114.808914,9954.429,16853.64,34700,38,34791,17395.5,24385.992,34639,152,69593,17398.25,20002.021,34741,62,0,0,72,112,43.053345,71.75557,0,5755,1291.8889,2096.2021,4394063.0,0,0,0,1,0,0,0,0,1,1453.375,8.666667,2320.2,72,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,181336,1,1,51,108,51,51,51.0,0.0,108,108,108.0,0.0,876.8253,11.029249,181336.0,0.0,181336,181336,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,20,5.5146246,5.5146246,51,108,70.0,32.908966,1083.0,0,0,0,0,0,0,0,0,1,105.0,51.0,108.0,32,1,51,1,108,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,36787,3,5,26,11607,20,0,8.666667,10.263203,7215,0,2321.4,3327.7698,316225.84,217.46812,5255.2856,13500.864,35867,3,732,366.0,511.9453,728,4,36770,9192.5,17786.277,35867,3,0,0,72,112,81.550545,135.91757,0,7215,1292.5555,2650.5857,7025604.5,0,0,0,1,0,0,0,0,1,1454.125,8.666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,1201,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4163.1973,300.25,344.39548,798,4,1201,300.25,344.39548,798,4,0,0.0,0.0,0,0,0,0,160,0,4163.1973,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,160,5,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
21,238,2,1,14,0,14,0,7.0,9.899495,0,0,0.0,0.0,58823.53,12605.042,119.0,65.053825,165,73,238,238.0,0.0,238,238,0,0.0,0.0,0,0,1,0,64,20,8403.361,4201.6807,0,14,7.0,8.082904,65.333336,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
53,51279,1,1,46,62,46,46,46.0,0.0,62,62,62.0,0.0,2106.1252,39.00232,51279.0,0.0,51279,51279,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,32,19.50116,19.50116,46,62,51.333332,9.237604,85.333336,0,0,0,0,0,0,0,0,1,77.0,46.0,62.0,40,1,46,1,62,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,11462894,5,4,559,3525,559,0,111.8,249.9924,3525,0,881.25,1762.5,356.28,0.78514206,1432861.8,2680508.2,6458110,56,6461552,1615388.0,3230008.0,6460400,221,11500000,3820946.0,3387194.0,6458110,943,0,0,168,136,0.43619,0.34895203,0,3525,408.4,1109.0637,1230022.2,0,0,0,1,0,0,0,0,0,453.77777,111.8,881.25,168,5,559,4,3525,29200,235,1,32,999.0,0.0,999,999,6458110.0,0.0,6458110,6458110,DoS
8080,102679,4,3,207,134,195,0,51.75,95.54188,128,0,44.666668,72.23111,3321.0295,68.17363,17113.166,40742.08,100274,54,102679,34226.332,58475.203,101746,54,100887,50443.5,70470.97,100274,613,0,0,92,72,38.95636,29.21727,0,195,42.625,75.57577,5711.6963,0,0,0,1,0,0,0,0,0,48.714287,51.75,44.666668,92,4,207,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot
12174,52,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,153846.16,38461.54,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,19230.77,19230.77,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,Port Scan
80,5390406,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.7420591,1796802.0,3111398.0,5389535,93,5390406,2695203.0,3810360.8,5389535,871,0,0.0,0.0,0,0,0,0,104,40,0.55654436,0.18551478,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack
80,1073034,3,4,26,11607,20,0,8.666667,10.263203,11595,0,2901.75,5795.5005,10841.223,6.5235586,178839.0,437589.7,1072065,5,925,462.5,432.04224,768,157,1073015,357671.66,618682.94,1072065,5,0,0,72,92,2.7958107,3.7277477,0,11595,1454.125,4097.5376,16800000.0,0,0,0,1,0,0,0,0,1,1661.8572,8.666667,2901.75,72,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,3815366,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,6.2903533,1.0483922,1271788.6,2202191.2,3814660,349,3815366,1271788.6,2202191.2,3814660,349,0,0.0,0.0,0,0,0,0,80,0,1.0483922,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,63476,3,5,26,11607,20,0,8.666667,10.263203,10135,0,2321.4,4413.202,183266.11,126.03188,9068.0,23610.977,62611,5,642,321.0,315.36963,544,98,63465,15866.25,31164.357,62611,5,0,0,72,112,47.26196,78.76993,0,10135,1292.5555,3350.635,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
9917,18,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,444444.44,111111.11,18.0,0.0,18,18,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,55555.555,55555.555,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,Port Scan
80,152611,3,6,362,11595,362,0,120.666664,209.0008,4344,0,1932.5,1754.8314,78349.53,58.97347,19076.375,48736.69,139179,4,13036,6518.0,9212.1875,13032,4,152512,30502.4,61010.086,139179,47,0,0,104,200,19.657824,39.315647,0,4344,1195.7,1620.6503,2626507.0,0,0,0,1,0,0,0,0,2,1328.5555,120.666664,1932.5,104,3,362,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
21,9058388,9,15,100,188,22,0,11.111111,8.724168,34,0,12.533334,14.54975,31.793736,2.649478,393842.97,1028936.4,3388014,3,5627247,703405.9,1304489.5,3012087,257,9058255,647018.2,1270932.5,3388014,3,0,0,296,488,0.99355423,1.6559237,0,34,11.52,12.453648,155.09334,0,0,0,1,0,0,0,0,1,12.0,11.111111,12.533334,296,9,100,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
53,32971,4,2,216,230,54,54,54.0,0.0,115,115,115.0,0.0,13527.039,181.9781,6594.2,13437.955,30579,4,30632,10210.667,17639.508,30579,4,190,190.0,0.0,190,190,0,0,80,40,121.31873,60.659367,54,115,71.42857,29.764952,885.9524,0,0,0,0,0,0,0,0,0,83.333336,54.0,115.0,80,4,216,2,230,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,83725018,6,6,335,11595,323,0,55.833332,130.9174,8699,0,1932.5,3511.4692,142.49026,0.14332634,7611365.5,24900000.0,82700000,4,83700000,16700000.0,36900000.0,82700000,316,83700000,16700000.0,37400000.0,83700000,4,0,0,184,200,0.07166317,0.07166317,0,8699,918.1539,2469.8982,6100397.5,1,0,0,0,0,0,0,0,1,994.6667,55.833332,1932.5,184,6,335,6,11595,0,235,2,20,12985.0,0.0,12985,12985,82700000.0,0.0,82700000,82700000,DoS
21,245,2,1,14,0,14,0,7.0,9.899495,0,0,0.0,0.0,57142.855,12244.898,122.5,129.40054,214,31,245,245.0,0.0,245,245,0,0.0,0.0,0,0,1,0,64,20,8163.265,4081.6326,0,14,7.0,8.082904,65.333336,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
